Name,Keyword,Url
Google Search,g,https://www.google.com/search?q=%s
Google Image Search,gi,https://www.google.com/search?tbm=isch&q=%s
Google I'm Feeling Lucky,go,http://www.google.com/search?q=%s&btnI=Im+Feeling+Lucky
Amazon,a,http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=%s&x=0&y=0
Discogs,d,http://www.discogs.com/search?q=%s&type=all
Ebay,e,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p5197.m570.l1313&_nkw=%s&_sacat=See-All-Categories
Translate English to Spanish,es,http://translate.google.com/#en%7Ces%7C%s%0A
Translate Spanish to English,se,http://translate.google.com/#es%7Cen%7C%s%0A
Github,gh,https://github.com/search?q=%s&ref=opensearch
Goodreads,gr,http://www.goodreads.com/search/search?search_type=books&search[query]=%s
Hacker News,hn,https://www.hnsearch.com/search#request/submissions&q=%s&start=0
IMDB,i,http://www.imdb.com/find?s=all&q=%s
Last.fm,l,http://www.last.fm/search?q=%s
Last.fm Artist,la,http://www.last.fm/music/%s
Last.fm Tag,lt,http://www.last.fm/tag/%s
Song Meanings,sm,http://www.songmeanings.net/query/?q=%s&type=artists&page=1&start=0&mm=1&pp=20&b=Go
Stack Overflow,st,http://stackoverflow.com/search?q=%s
Urban Dictionary,u,http://www.urbandictionary.com/define.php?term=%s
Wikipedia,w,http://en.wikipedia.org/w/index.php?title=Special:Search&search=%s
Wiktionary,wk,http://en.wiktionary.org/wiki/Special:Search?search=%s&go=Go
Wolfram Alpha,wa,http://www.wolframalpha.com/input/?i=%s
Yelp,ye,http://www.yelp.com/search?find_desc=%s&src=opensearch
Youtube,y,http://www.youtube.com/results?search_query=%s&page={startPage?}&utm_source=opensearch
